Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
BRAF	B-Raf proto-oncogene, serine/threonine kinase	963 / 16,405	5
NRAS	NRAS proto-oncogene, GTPase	837 / 16,405	2
HRAS	HRas proto-oncogene, GTPase	162 / 16,405	2
MUC16	mucin 16, cell surface associated	2,887 / 16,405	12
ZFHX3	zinc finger homeobox 3	834 / 16,405	9
EIF1AX	eukaryotic translation initiation factor 1A X-linked	81 / 16,405	8
KMT2A	lysine methyltransferase 2A	685 / 16,405	7
AKT1	AKT serine/threonine kinase 1	176 / 16,405	3
ATM	ATM serine/threonine kinase	757 / 16,405	5
CUX1	cut like homeobox 1	489 / 16,405	4
CSMD3	CUB and Sushi multiple domains 3	1,984 / 16,405	4
KRAS	KRAS proto-oncogene, GTPase	1,762 / 16,405	4
WNK2	WNK lysine deficient protein kinase 2	461 / 16,405	4
KMT2C	lysine methyltransferase 2C	1,059 / 16,405	4
PPM1D	protein phosphatase, Mg2+/Mn2+ dependent 1D	152 / 16,405	4
ARID2	AT-rich interaction domain 2	527 / 16,405	4
CHEK2	checkpoint kinase 2	165 / 16,405	4
NSD1	nuclear receptor binding SET domain protein 1	561 / 16,405	3
PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	1,673 / 16,405	3
ZNRF3	zinc and ring finger 3	207 / 16,405	3
DICER1	dicer 1, ribonuclease III	385 / 16,405	5
SLC34A2	solute carrier family 34 member 2	255 / 16,405	3
SF3B1	splicing factor 3b subunit 1	366 / 16,405	3
CTNND2	catenin delta 2	677 / 16,405	3
TNC	tenascin C	528 / 16,405	3
PTPRD	protein tyrosine phosphatase receptor type D	766 / 16,405	4
MEN1	menin 1	163 / 16,405	3
KMT2D	lysine methyltransferase 2D	1,333 / 16,405	3
DNMT3A	DNA methyltransferase 3 alpha	336 / 16,405	3
TP53	tumor protein p53	4,928 / 16,405	3
RET	ret proto-oncogene	365 / 16,405	3
FAT3	FAT atypical cadherin 3	1,432 / 16,405	3
SGK1	serum/glucocorticoid regulated kinase 1	213 / 16,405	10
IL7R	interleukin 7 receptor	326 / 16,405	3
