Symbol	Name	# SSM Affected Cases Across the GDC	# Mutations
VHL	von Hippel-Lindau tumor suppressor	394 / 16,405	148
PBRM1	polybromo 1	579 / 16,405	167
MUC16	mucin 16, cell surface associated	2,887 / 16,405	76
SETD2	SET domain containing 2, histone lysine methyltransferase	633 / 16,405	65
BAP1	BRCA1 associated protein 1	332 / 16,405	53
KMT2C	lysine methyltransferase 2C	1,059 / 16,405	40
TP53	tumor protein p53	4,928 / 16,405	36
MTOR	mechanistic target of rapamycin kinase	515 / 16,405	35
KMT2D	lysine methyltransferase 2D	1,333 / 16,405	33
FAT1	FAT atypical cadherin 1	1,065 / 16,405	30
PTEN	phosphatase and tensin homolog	1,230 / 16,405	27
ARID1A	AT-rich interaction domain 1A	1,151 / 16,405	26
CSMD3	CUB and Sushi multiple domains 3	1,984 / 16,405	27
MET	MET proto-oncogene, receptor tyrosine kinase	349 / 16,405	17
BIRC6	baculoviral IAP repeat containing 6	756 / 16,405	25
SPEN	spen family transcriptional repressor	628 / 16,405	27
KDM5C	lysine demethylase 5C	385 / 16,405	25
ATM	ATM serine/threonine kinase	757 / 16,405	27
LRP1B	LDL receptor related protein 1B	1,780 / 16,405	23
SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	580 / 16,405	22
EP300	E1A binding protein p300	566 / 16,405	19
FAT4	FAT atypical cadherin 4	1,440 / 16,405	19
STAG2	stromal antigen 2	396 / 16,405	18
NSD1	nuclear receptor binding SET domain protein 1	561 / 16,405	17
BRCA2	BRCA2 DNA repair associated	566 / 16,405	17
CUL3	cullin 3	250 / 16,405	18
RANBP2	RAN binding protein 2	533 / 16,405	17
TSC2	TSC complex subunit 2	387 / 16,405	17
NF2	neurofibromin 2	197 / 16,405	16
NCOR1	nuclear receptor corepressor 1	538 / 16,405	16
FAT3	FAT atypical cadherin 3	1,432 / 16,405	17
ROS1	ROS proto-oncogene 1, receptor tyrosine kinase	611 / 16,405	16
AFDN	afadin, adherens junction formation factor	416 / 16,405	15
ERBB4	erb-b2 receptor tyrosine kinase 4	672 / 16,405	15
CLTC	clathrin heavy chain	301 / 16,405	14
ZFHX3	zinc finger homeobox 3	834 / 16,405	15
AKAP9	A-kinase anchoring protein 9	657 / 16,405	15
CREBBP	CREB binding protein	774 / 16,405	13
KMT2A	lysine methyltransferase 2A	685 / 16,405	13
NF1	neurofibromin 1	873 / 16,405	15
KDM6A	lysine demethylase 6A	472 / 16,405	15
RNF213	ring finger protein 213	756 / 16,405	13
KAT6A	lysine acetyltransferase 6A	415 / 16,405	13
CUX1	cut like homeobox 1	489 / 16,405	13
TSC1	TSC complex subunit 1	273 / 16,405	12
CHD4	chromodomain helicase DNA binding protein 4	552 / 16,405	12
PTPRB	protein tyrosine phosphatase receptor type B	630 / 16,405	14
TET1	tet methylcytosine dioxygenase 1	452 / 16,405	12
KNL1	kinetochore scaffold 1	332 / 16,405	12
CACNA1D	calcium voltage-gated channel subunit alpha1 D	508 / 16,405	13
NOTCH2	notch receptor 2	430 / 16,405	12
GRIN2A	glutamate ionotropic receptor NMDA type subunit 2A	772 / 16,405	11
NBEA	neurobeachin	699 / 16,405	11
TNC	tenascin C	528 / 16,405	11
BCORL1	BCL6 corepressor like 1	516 / 16,405	11
DDX5	DEAD-box helicase 5	162 / 16,405	10
DNMT3A	DNA methyltransferase 3 alpha	336 / 16,405	11
UBR5	ubiquitin protein ligase E3 component n-recognin 5	559 / 16,405	11
PTPRT	protein tyrosine phosphatase receptor type T	812 / 16,405	12
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	260 / 16,405	10
HSP90AA1	heat shock protein 90 alpha family class A member 1	188 / 16,405	10
SF3B1	splicing factor 3b subunit 1	366 / 16,405	10
APC	APC regulator of WNT signaling pathway	1,079 / 16,405	10
POLE	DNA polymerase epsilon, catalytic subunit	492 / 16,405	10
ERBB2	erb-b2 receptor tyrosine kinase 2	353 / 16,405	10
ATRX	ATRX chromatin remodeler	813 / 16,405	10
BCL9L	BCL9 like	347 / 16,405	10
NFE2L2	nuclear factor, erythroid 2 like 2	331 / 16,405	9
ATR	ATR serine/threonine kinase	495 / 16,405	10
TPR	translocated promoter region, nuclear basket protein	463 / 16,405	10
LRIG3	leucine rich repeats and immunoglobulin like domains 3	246 / 16,405	10
ZNF521	zinc finger protein 521	536 / 16,405	10
CDK12	cyclin dependent kinase 12	371 / 16,405	9
PTPRD	protein tyrosine phosphatase receptor type D	766 / 16,405	9
